Computer - GOG || 11th Hour, The (USA) || $ROM_JSON_ROOT/Computer/GOG/#-0/11th Hour, The (USA)/11th Hour, The (USA).json
Computer - GOG || 7th Guest, The (USA) || $ROM_JSON_ROOT/Computer/GOG/#-0/7th Guest, The (USA)/7th Guest, The (USA).json
Computer - GOG || A.D. 2044 (USA) || $ROM_JSON_ROOT/Computer/GOG/A/A.D. 2044 (USA)/A.D. 2044 (USA).json
Computer - GOG || Akalabeth - World of Doom (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Akalabeth - World of Doom (USA)/Akalabeth - World of Doom (USA).json
Computer - GOG || Alan Wake (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alan Wake (USA)/Alan Wake (USA).json
Computer - GOG || Alan Wake's American Nightmare (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alan Wake's American Nightmare (USA)/Alan Wake's American Nightmare (USA).json
Computer - GOG || Alder's Blood - Prologue (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alder's Blood - Prologue (USA)/Alder's Blood - Prologue (USA).json
Computer - GOG || Alone in the Dark (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alone in the Dark (USA)/Alone in the Dark (USA).json
Computer - GOG || Alone in the Dark - The New Nightmare (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alone in the Dark - The New Nightmare (USA)/Alone in the Dark - The New Nightmare (USA).json
Computer - GOG || Alone in the Dark 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alone in the Dark 2 (USA)/Alone in the Dark 2 (USA).json
Computer - GOG || Alone in the Dark 3 (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alone in the Dark 3 (USA)/Alone in the Dark 3 (USA).json
Computer - GOG || Alwa's Awakening (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Alwa's Awakening (USA)/Alwa's Awakening (USA).json
Computer - GOG || Amnesia - A Machine For Pigs (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Amnesia - A Machine For Pigs (USA)/Amnesia - A Machine For Pigs (USA).json
Computer - GOG || Amnesia - The Dark Descent (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Amnesia - The Dark Descent (USA)/Amnesia - The Dark Descent (USA).json
Computer - GOG || Anachronox (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Anachronox (USA)/Anachronox (USA).json
Computer - GOG || Ancient Enemy (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Ancient Enemy (USA)/Ancient Enemy (USA).json
Computer - GOG || Arx Fatalis (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Arx Fatalis (USA)/Arx Fatalis (USA).json
Computer - GOG || Ascendant (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Ascendant (USA)/Ascendant (USA).json
Computer - GOG || Avernum (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Avernum (USA)/Avernum (USA).json
Computer - GOG || Avernum 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Avernum 2 (USA)/Avernum 2 (USA).json
Computer - GOG || Avernum 3 (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Avernum 3 (USA)/Avernum 3 (USA).json
Computer - GOG || Avernum 4 (USA) || $ROM_JSON_ROOT/Computer/GOG/A/Avernum 4 (USA)/Avernum 4 (USA).json
