Microsoft Xbox 360 || Alan Wake (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Alan Wake (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru)/Alan Wake (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru).json
Microsoft Xbox 360 || Banjo-Kazooie - Nuts & Bolts (USA) (En,Ja,Fr,De,Es,It,Nl,Sv,No,Zh,Ko,Pl,Ru,Cs) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Banjo-Kazooie - Nuts & Bolts (USA) (En,Ja,Fr,De,Es,It,Nl,Sv,No,Zh,Ko,Pl,Ru,Cs)/Banjo-Kazooie - Nuts & Bolts (USA) (En,Ja,Fr,De,Es,It,Nl,Sv,No,Zh,Ko,Pl,Ru,Cs).json
Microsoft Xbox 360 || Blue Dragon (World) (En,Fr) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Blue Dragon (World) (En,Fr)/Blue Dragon (World) (En,Fr).json
Microsoft Xbox 360 || Capcom Digital Collection (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Capcom Digital Collection (World)/Capcom Digital Collection (World).json
Microsoft Xbox 360 || Condemned - Criminal Origins (World) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Condemned - Criminal Origins (World) (En,Fr,De,Es,It)/Condemned - Criminal Origins (World) (En,Fr,De,Es,It).json
Microsoft Xbox 360 || Condemned 2 - Bloodshot (World) (En,Fr,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Condemned 2 - Bloodshot (World) (En,Fr,Es,It)/Condemned 2 - Bloodshot (World) (En,Fr,Es,It).json
Microsoft Xbox 360 || Crackdown (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Cs,Hu) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Crackdown (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Cs,Hu)/Crackdown (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Cs,Hu).json
Microsoft Xbox 360 || Crackdown 2 (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru,Cs,Hu) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Crackdown 2 (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru,Cs,Hu)/Crackdown 2 (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru,Cs,Hu).json
Microsoft Xbox 360 || Dreamcast Collection (USA) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Dreamcast Collection (USA)/Dreamcast Collection (USA).json
Microsoft Xbox 360 || Fable - Anniversary (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Fable - Anniversary (World)/Fable - Anniversary (World).json
Microsoft Xbox 360 || Fable II (World) (En,Zh,Ko,Pl,Cs,Hu) (Game of the Year Edition) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Fable II (World) (En,Zh,Ko,Pl,Cs,Hu) (Game of the Year Edition)/Fable II (World) (En,Zh,Ko,Pl,Cs,Hu) (Game of the Year Edition).json
Microsoft Xbox 360 || Fable III (World) (En,Zh,Ko,Pl,Ru,Cs,Hu,Sk) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Fable III (World) (En,Zh,Ko,Pl,Ru,Cs,Hu,Sk)/Fable III (World) (En,Zh,Ko,Pl,Ru,Cs,Hu,Sk).json
Microsoft Xbox 360 || Far Cry 2 (World) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Far Cry 2 (World) (En,Fr,De,Es,It)/Far Cry 2 (World) (En,Fr,De,Es,It).json
Microsoft Xbox 360 || Far Cry 3 (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Far Cry 3 (World)/Far Cry 3 (World).json
Microsoft Xbox 360 || Far Cry 3 - Blood Dragon (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Far Cry 3 - Blood Dragon (World)/Far Cry 3 - Blood Dragon (World).json
Microsoft Xbox 360 || Fuzion Frenzy 2 (World) (En,Ja,Fr,De,Es,It,Zh,Ko) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Fuzion Frenzy 2 (World) (En,Ja,Fr,De,Es,It,Zh,Ko)/Fuzion Frenzy 2 (World) (En,Ja,Fr,De,Es,It,Zh,Ko).json
Microsoft Xbox 360 || Infinite Undiscovery (USA) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Infinite Undiscovery (USA)/Infinite Undiscovery (USA).json
Microsoft Xbox 360 || Jurassic Park - The Game (USA) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Jurassic Park - The Game (USA)/Jurassic Park - The Game (USA).json
Microsoft Xbox 360 || Kameo - Elements of Power (USA) (En,Ja,Fr,De,Es,It,Zh,Ko) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Kameo - Elements of Power (USA) (En,Ja,Fr,De,Es,It,Zh,Ko)/Kameo - Elements of Power (USA) (En,Ja,Fr,De,Es,It,Zh,Ko).json
Microsoft Xbox 360 || Konami Classics Vol. 1 (USA) (En,Ja,Fr,De,Es,It,Zh,Ko) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Konami Classics Vol. 1 (USA) (En,Ja,Fr,De,Es,It,Zh,Ko)/Konami Classics Vol. 1 (USA) (En,Ja,Fr,De,Es,It,Zh,Ko).json
Microsoft Xbox 360 || Last Remnant, The (USA, Asia) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Last Remnant, The (USA, Asia) (En,Fr,De,Es,It)/Last Remnant, The (USA, Asia) (En,Fr,De,Es,It).json
