Nintendo SNES || 7th Saga, The (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/7th Saga, The (USA)/7th Saga, The (USA).json
Nintendo SNES || ActRaiser (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/ActRaiser (USA)/ActRaiser (USA).json
Nintendo SNES || Advanced Dungeons & Dragons - Eye of the Beholder (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Advanced Dungeons & Dragons - Eye of the Beholder (USA)/Advanced Dungeons & Dragons - Eye of the Beholder (USA).json
Nintendo SNES || Arcana (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Arcana (USA)/Arcana (USA).json
Nintendo SNES || Axelay (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Axelay (USA)/Axelay (USA).json
Nintendo SNES || B.O.B. (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/B.O.B. (USA)/B.O.B. (USA).json
Nintendo SNES || Battle Clash (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Battle Clash (USA)/Battle Clash (USA).json
Nintendo SNES || Big Sky Trooper (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Big Sky Trooper (USA)/Big Sky Trooper (USA).json
Nintendo SNES || Bill Laimbeer's Combat Basketball (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Bill Laimbeer's Combat Basketball (USA)/Bill Laimbeer's Combat Basketball (USA).json
Nintendo SNES || Brain Lord (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Brain Lord (USA)/Brain Lord (USA).json
Nintendo SNES || Brandish (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Brandish (USA)/Brandish (USA).json
Nintendo SNES || Brawl Brothers (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Brawl Brothers (USA)/Brawl Brothers (USA).json
Nintendo SNES || Breath of Fire (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Breath of Fire (USA)/Breath of Fire (USA).json
Nintendo SNES || Breath of Fire II (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Breath of Fire II (USA)/Breath of Fire II (USA).json
Nintendo SNES || Castlevania - Dracula X (USA) || $ROM_JSON_ROOT/Nintendo/Nintendo SNES/Castlevania - Dracula X (USA)/Castlevania - Dracula X (USA).json
