Nintendo Super Famicom || Akumajou Dracula (Japan) (Castlevania Anniversary Collection) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Akumajou Dracula (Japan) (Castlevania Anniversary Collection)/Akumajou Dracula (Japan) (Castlevania Anniversary Collection).json
Nintendo Super Famicom || Bahamut Lagoon (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Bahamut Lagoon (Japan)/Bahamut Lagoon (Japan).json
Nintendo Super Famicom || Bahamut Lagoon (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Bahamut Lagoon (Japan) (English Patch)/Bahamut Lagoon (Japan) (English Patch).json
Nintendo Super Famicom || Chou Mahou Tairiku Wozz (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Chou Mahou Tairiku Wozz (Japan)/Chou Mahou Tairiku Wozz (Japan).json
Nintendo Super Famicom || Chou Mahou Tairiku Wozz (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Chou Mahou Tairiku Wozz (Japan) (English Patch)/Chou Mahou Tairiku Wozz (Japan) (English Patch).json
Nintendo Super Famicom || Chrono Trigger (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Chrono Trigger (Japan)/Chrono Trigger (Japan).json
Nintendo Super Famicom || Contra Spirits (World) (Contra Anniversary Collection) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Contra Spirits (World) (Contra Anniversary Collection)/Contra Spirits (World) (Contra Anniversary Collection).json
Nintendo Super Famicom || Cyber Knight (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Cyber Knight (Japan)/Cyber Knight (Japan).json
Nintendo Super Famicom || Cyber Knight (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Cyber Knight (Japan) (English Patch)/Cyber Knight (Japan) (English Patch).json
Nintendo Super Famicom || Cyber Knight (Japan) (English+Easy Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Cyber Knight (Japan) (English+Easy Patch)/Cyber Knight (Japan) (English+Easy Patch).json
Nintendo Super Famicom || Cyber Knight II - Chikyuu Teikoku no Yabou (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Cyber Knight II - Chikyuu Teikoku no Yabou (Japan)/Cyber Knight II - Chikyuu Teikoku no Yabou (Japan).json
Nintendo Super Famicom || Cyber Knight II - Chikyuu Teikoku no Yabou (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Cyber Knight II - Chikyuu Teikoku no Yabou (Japan) (English Patch)/Cyber Knight II - Chikyuu Teikoku no Yabou (Japan) (English Patch).json
Nintendo Super Famicom || Dragon Quest I & II (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest I & II (Japan)/Dragon Quest I & II (Japan).json
Nintendo Super Famicom || Dragon Quest I & II (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest I & II (Japan) (English Patch)/Dragon Quest I & II (Japan) (English Patch).json
Nintendo Super Famicom || Dragon Quest III - Soshite Densetsu e... (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest III - Soshite Densetsu e... (Japan)/Dragon Quest III - Soshite Densetsu e... (Japan).json
Nintendo Super Famicom || Dragon Quest III - Soshite Densetsu e... (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest III - Soshite Densetsu e... (Japan) (English Patch)/Dragon Quest III - Soshite Densetsu e... (Japan) (English Patch).json
Nintendo Super Famicom || Dragon Quest V - Tenkuu no Hanayome (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest V - Tenkuu no Hanayome (Japan)/Dragon Quest V - Tenkuu no Hanayome (Japan).json
Nintendo Super Famicom || Dragon Quest V - Tenkuu no Hanayome (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest V - Tenkuu no Hanayome (Japan) (English Patch)/Dragon Quest V - Tenkuu no Hanayome (Japan) (English Patch).json
Nintendo Super Famicom || Dragon Quest VI - Maboroshi no Daichi (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest VI - Maboroshi no Daichi (Japan)/Dragon Quest VI - Maboroshi no Daichi (Japan).json
Nintendo Super Famicom || Dragon Quest VI - Maboroshi no Daichi (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Dragon Quest VI - Maboroshi no Daichi (Japan) (English Patch)/Dragon Quest VI - Maboroshi no Daichi (Japan) (English Patch).json
