Nintendo Wii U eShop || 3Souls (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/3Souls (USA) (eShop)/3Souls (USA) (eShop).json
Nintendo Wii U eShop || 6180 the Moon (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/6180 the Moon (USA) (eShop)/6180 the Moon (USA) (eShop).json
Nintendo Wii U eShop || Adventure Party - Cats and Caverns (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Adventure Party - Cats and Caverns (USA) (eShop)/Adventure Party - Cats and Caverns (USA) (eShop).json
Nintendo Wii U eShop || Affordable Space Adventures (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Affordable Space Adventures (USA) (eShop)/Affordable Space Adventures (USA) (eShop).json
Nintendo Wii U eShop || Art of Balance (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Art of Balance (USA) (eShop)/Art of Balance (USA) (eShop).json
Nintendo Wii U eShop || Blek (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Blek (USA) (eShop)/Blek (USA) (eShop).json
Nintendo Wii U eShop || Breezeblox (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Breezeblox (USA) (eShop)/Breezeblox (USA) (eShop).json
Nintendo Wii U eShop || Captain U (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Captain U (USA) (eShop)/Captain U (USA) (eShop).json
Nintendo Wii U eShop || Chasing Aurora (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Chasing Aurora (USA) (eShop)/Chasing Aurora (USA) (eShop).json
Nintendo Wii U eShop || Dr. Luigi (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Dr. Luigi (USA) (eShop)/Dr. Luigi (USA) (eShop).json
Nintendo Wii U eShop || Dungeons & Dragons - Chronicles of Mystara (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Dungeons & Dragons - Chronicles of Mystara (USA) (eShop)/Dungeons & Dragons - Chronicles of Mystara (USA) (eShop).json
Nintendo Wii U eShop || Fast Racing Neo (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Fast Racing Neo (USA) (eShop)/Fast Racing Neo (USA) (eShop).json
Nintendo Wii U eShop || Fatal Frame - Maiden of Black Water (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Fatal Frame - Maiden of Black Water (USA) (eShop)/Fatal Frame - Maiden of Black Water (USA) (eShop).json
Nintendo Wii U eShop || Flowerworks HD - Follie's Adventure (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Flowerworks HD - Follie's Adventure (USA) (eShop)/Flowerworks HD - Follie's Adventure (USA) (eShop).json
Nintendo Wii U eShop || Gunman Clive HD Collection (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Gunman Clive HD Collection (USA) (eShop)/Gunman Clive HD Collection (USA) (eShop).json
Nintendo Wii U eShop || Mario vs. Donkey Kong - Tipping Stars (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Mario vs. Donkey Kong - Tipping Stars (USA) (eShop)/Mario vs. Donkey Kong - Tipping Stars (USA) (eShop).json
Nintendo Wii U eShop || Mini Mario & Friends - amiibo Challenge (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Mini Mario & Friends - amiibo Challenge (USA) (eShop)/Mini Mario & Friends - amiibo Challenge (USA) (eShop).json
Nintendo Wii U eShop || Monster Hunter 3 Ultimate Packet Relay Tools (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Monster Hunter 3 Ultimate Packet Relay Tools (USA) (eShop)/Monster Hunter 3 Ultimate Packet Relay Tools (USA) (eShop).json
Nintendo Wii U eShop || Mr. Pumpkin Adventure (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Mr. Pumpkin Adventure (USA) (eShop)/Mr. Pumpkin Adventure (USA) (eShop).json
Nintendo Wii U eShop || Nano Assault Neo (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Nano Assault Neo (USA) (eShop)/Nano Assault Neo (USA) (eShop).json
