Atari Jaguar || Alien vs Predator (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Alien vs Predator (World)/Alien vs Predator (World).json
Atari Jaguar || Atari Karts (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Atari Karts (World)/Atari Karts (World).json
Atari Jaguar || Checkered Flag (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Checkered Flag (World)/Checkered Flag (World).json
Atari Jaguar || Club Drive (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Club Drive (World)/Club Drive (World).json
Atari Jaguar || Cybermorph (World) (Rev A) || $ROM_JSON_ROOT/Other/Atari Jaguar/Cybermorph (World) (Rev A)/Cybermorph (World) (Rev A).json
Atari Jaguar || Cybermorph (World) (Rev B) || $ROM_JSON_ROOT/Other/Atari Jaguar/Cybermorph (World) (Rev B)/Cybermorph (World) (Rev B).json
Atari Jaguar || Doom (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Doom (World)/Doom (World).json
Atari Jaguar || Evolution - Dino Dudes (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Evolution - Dino Dudes (World)/Evolution - Dino Dudes (World).json
Atari Jaguar || Fight for Life (USA, Europe) || $ROM_JSON_ROOT/Other/Atari Jaguar/Fight for Life (USA, Europe)/Fight for Life (USA, Europe).json
Atari Jaguar || Flip Out! (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Flip Out! (World)/Flip Out! (World).json
Atari Jaguar || Iron Soldier (World) (v1.04) || $ROM_JSON_ROOT/Other/Atari Jaguar/Iron Soldier (World) (v1.04)/Iron Soldier (World) (v1.04).json
Atari Jaguar || Kasumi Ninja (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Kasumi Ninja (World)/Kasumi Ninja (World).json
Atari Jaguar || Missile Command 3D (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Missile Command 3D (World)/Missile Command 3D (World).json
Atari Jaguar || Ruiner Pinball (USA, Europe) || $ROM_JSON_ROOT/Other/Atari Jaguar/Ruiner Pinball (USA, Europe)/Ruiner Pinball (USA, Europe).json
Atari Jaguar || Tempest 2000 (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Tempest 2000 (World)/Tempest 2000 (World).json
Atari Jaguar || Theme Park (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Theme Park (World)/Theme Park (World).json
Atari Jaguar || Towers II (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Towers II (World)/Towers II (World).json
Atari Jaguar || Trevor McFur in the Crescent Galaxy (World) (Rev A) || $ROM_JSON_ROOT/Other/Atari Jaguar/Trevor McFur in the Crescent Galaxy (World) (Rev A)/Trevor McFur in the Crescent Galaxy (World) (Rev A).json
Atari Jaguar || Zool 2 (World) || $ROM_JSON_ROOT/Other/Atari Jaguar/Zool 2 (World)/Zool 2 (World).json
