NEC TurboGrafx-16 & PC-Engine || Air Zonk (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Air Zonk (USA)/Air Zonk (USA).json
NEC TurboGrafx-16 & PC-Engine || Alien Crush (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Alien Crush (USA)/Alien Crush (USA).json
NEC TurboGrafx-16 & PC-Engine || Appare Gateball (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Appare Gateball (Japan)/Appare Gateball (Japan).json
NEC TurboGrafx-16 & PC-Engine || Battle Lode Runner (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Battle Lode Runner (Japan)/Battle Lode Runner (Japan).json
NEC TurboGrafx-16 & PC-Engine || Blazing Lazers (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Blazing Lazers (USA)/Blazing Lazers (USA).json
NEC TurboGrafx-16 & PC-Engine || Bomberman '93 (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Bomberman '93 (USA)/Bomberman '93 (USA).json
NEC TurboGrafx-16 & PC-Engine || Bomberman '94 (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Bomberman '94 (Japan)/Bomberman '94 (Japan).json
NEC TurboGrafx-16 & PC-Engine || Bonk 3 - Bonk's Big Adventure (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Bonk 3 - Bonk's Big Adventure (USA)/Bonk 3 - Bonk's Big Adventure (USA).json
NEC TurboGrafx-16 & PC-Engine || Bonk's Adventure (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Bonk's Adventure (USA)/Bonk's Adventure (USA).json
NEC TurboGrafx-16 & PC-Engine || Bonk's Revenge (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Bonk's Revenge (USA)/Bonk's Revenge (USA).json
NEC TurboGrafx-16 & PC-Engine || Cadash (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Cadash (USA)/Cadash (USA).json
NEC TurboGrafx-16 & PC-Engine || Chew Man Fu (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Chew Man Fu (USA)/Chew Man Fu (USA).json
NEC TurboGrafx-16 & PC-Engine || China Warrior (USA) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/China Warrior (USA)/China Warrior (USA).json
NEC TurboGrafx-16 & PC-Engine || Darius Alpha (Japan) || $ROM_JSON_ROOT/Other/NEC TurboGrafx-16 & PC-Engine/Darius Alpha (Japan)/Darius Alpha (Japan).json
