Sega CD || Bram Stoker's Dracula (USA) || $ROM_JSON_ROOT/Other/Sega CD/Bram Stoker's Dracula (USA)/Bram Stoker's Dracula (USA).json
Sega CD || Cliffhanger (USA) || $ROM_JSON_ROOT/Other/Sega CD/Cliffhanger (USA)/Cliffhanger (USA).json
Sega CD || Dungeon Explorer (USA) || $ROM_JSON_ROOT/Other/Sega CD/Dungeon Explorer (USA)/Dungeon Explorer (USA).json
Sega CD || Dungeon Master II - Skullkeep (USA) || $ROM_JSON_ROOT/Other/Sega CD/Dungeon Master II - Skullkeep (USA)/Dungeon Master II - Skullkeep (USA).json
Sega CD || Ecco - The Tides of Time (USA) || $ROM_JSON_ROOT/Other/Sega CD/Ecco - The Tides of Time (USA)/Ecco - The Tides of Time (USA).json
Sega CD || Ecco the Dolphin (USA) || $ROM_JSON_ROOT/Other/Sega CD/Ecco the Dolphin (USA)/Ecco the Dolphin (USA).json
Sega CD || Eye of the Beholder (USA) || $ROM_JSON_ROOT/Other/Sega CD/Eye of the Beholder (USA)/Eye of the Beholder (USA).json
Sega CD || Final Fight CD (USA) || $ROM_JSON_ROOT/Other/Sega CD/Final Fight CD (USA)/Final Fight CD (USA).json
Sega CD || Heart of the Alien - Out of This World Parts I and II (USA) (RE) || $ROM_JSON_ROOT/Other/Sega CD/Heart of the Alien - Out of This World Parts I and II (USA) (RE)/Heart of the Alien - Out of This World Parts I and II (USA) (RE).json
Sega CD || Heimdall (USA) || $ROM_JSON_ROOT/Other/Sega CD/Heimdall (USA)/Heimdall (USA).json
Sega CD || Mansion of Hidden Souls (USA) || $ROM_JSON_ROOT/Other/Sega CD/Mansion of Hidden Souls (USA)/Mansion of Hidden Souls (USA).json
Sega CD || Night Striker (Japan, Korea) || $ROM_JSON_ROOT/Other/Sega CD/Night Striker (Japan, Korea)/Night Striker (Japan, Korea).json
Sega CD || Night Trap (USA) || $ROM_JSON_ROOT/Other/Sega CD/Night Trap (USA)/Night Trap (USA).json
Sega CD || Ninja Warriors, The (Japan) || $ROM_JSON_ROOT/Other/Sega CD/Ninja Warriors, The (Japan)/Ninja Warriors, The (Japan).json
Sega CD || Rise of the Dragon (USA) || $ROM_JSON_ROOT/Other/Sega CD/Rise of the Dragon (USA)/Rise of the Dragon (USA).json
Sega CD || Robo Aleste (USA) || $ROM_JSON_ROOT/Other/Sega CD/Robo Aleste (USA)/Robo Aleste (USA).json
Sega CD || Sega Classics Arcade Collection (USA) (RE) (4-in-1) || $ROM_JSON_ROOT/Other/Sega CD/Sega Classics Arcade Collection (USA) (RE) (4-in-1)/Sega Classics Arcade Collection (USA) (RE) (4-in-1).json
Sega CD || Sewer Shark (USA) || $ROM_JSON_ROOT/Other/Sega CD/Sewer Shark (USA)/Sewer Shark (USA).json
Sega CD || Sherlock Holmes - Consulting Detective (USA) || $ROM_JSON_ROOT/Other/Sega CD/Sherlock Holmes - Consulting Detective (USA)/Sherlock Holmes - Consulting Detective (USA).json
Sega CD || Shining Force CD (USA) (5R, 6R) || $ROM_JSON_ROOT/Other/Sega CD/Shining Force CD (USA) (5R, 6R)/Shining Force CD (USA) (5R, 6R).json
Sega CD || Silpheed (USA) || $ROM_JSON_ROOT/Other/Sega CD/Silpheed (USA)/Silpheed (USA).json
Sega CD || Software Toolworks' Star Wars Chess, The (USA) || $ROM_JSON_ROOT/Other/Sega CD/Software Toolworks' Star Wars Chess, The (USA)/Software Toolworks' Star Wars Chess, The (USA).json
Sega CD || Sonic CD (USA) || $ROM_JSON_ROOT/Other/Sega CD/Sonic CD (USA)/Sonic CD (USA).json
Sega CD || Star Wars - Rebel Assault (USA) || $ROM_JSON_ROOT/Other/Sega CD/Star Wars - Rebel Assault (USA)/Star Wars - Rebel Assault (USA).json
