Sega Genesis || 6-Pak (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/6-Pak (USA)/6-Pak (USA).json
Sega Genesis || After Burner II (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/After Burner II (USA, Europe)/After Burner II (USA, Europe).json
Sega Genesis || Alex Kidd in the Enchanted Castle (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Alex Kidd in the Enchanted Castle (USA)/Alex Kidd in the Enchanted Castle (USA).json
Sega Genesis || Alien Soldier (Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Alien Soldier (Europe)/Alien Soldier (Europe).json
Sega Genesis || Alien Soldier (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Alien Soldier (Japan)/Alien Soldier (Japan).json
Sega Genesis || Alien Storm (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Alien Storm (World)/Alien Storm (World).json
Sega Genesis || Alisia Dragoon (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Alisia Dragoon (USA)/Alisia Dragoon (USA).json
Sega Genesis || Altered Beast (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Altered Beast (USA, Europe)/Altered Beast (USA, Europe).json
Sega Genesis || Atomic Runner (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Atomic Runner (USA)/Atomic Runner (USA).json
Sega Genesis || Bare Knuckle - Ikari no Tekken ~ Streets of Rage (World) (Rev A) || $ROM_JSON_ROOT/Other/Sega Genesis/Bare Knuckle - Ikari no Tekken ~ Streets of Rage (World) (Rev A)/Bare Knuckle - Ikari no Tekken ~ Streets of Rage (World) (Rev A).json
Sega Genesis || Bare Knuckle II - Shitou e no Requiem ~ Streets of Rage II (Japan, Europe) (En,Ja) || $ROM_JSON_ROOT/Other/Sega Genesis/Bare Knuckle II - Shitou e no Requiem ~ Streets of Rage II (Japan, Europe) (En,Ja)/Bare Knuckle II - Shitou e no Requiem ~ Streets of Rage II (Japan, Europe) (En,Ja).json
Sega Genesis || Bare Knuckle III (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Bare Knuckle III (Japan)/Bare Knuckle III (Japan).json
Sega Genesis || Barver Battle Saga - Tai Kong Zhan Shi (Taiwan) (Unl) || $ROM_JSON_ROOT/Other/Sega Genesis/Barver Battle Saga - Tai Kong Zhan Shi (Taiwan) (Unl)/Barver Battle Saga - Tai Kong Zhan Shi (Taiwan) (Unl).json
Sega Genesis || Beavis and Butt-Head (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Beavis and Butt-Head (USA)/Beavis and Butt-Head (USA).json
Sega Genesis || Beyond Oasis (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Beyond Oasis (USA)/Beyond Oasis (USA).json
Sega Genesis || Bio Hazard Battle (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Bio Hazard Battle (USA, Europe)/Bio Hazard Battle (USA, Europe).json
Sega Genesis || Bonanza Bros. (Japan, Europe) (Rev A) || $ROM_JSON_ROOT/Other/Sega Genesis/Bonanza Bros. (Japan, Europe) (Rev A)/Bonanza Bros. (Japan, Europe) (Rev A).json
Sega Genesis || Bonanza Bros. (USA, Europe, Korea) (Rev B) || $ROM_JSON_ROOT/Other/Sega Genesis/Bonanza Bros. (USA, Europe, Korea) (Rev B)/Bonanza Bros. (USA, Europe, Korea) (Rev B).json
Sega Genesis || Bram Stoker's Dracula (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Bram Stoker's Dracula (USA)/Bram Stoker's Dracula (USA).json
