Sony PlayStation 3 || 3D Dot Game Heroes (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/3D Dot Game Heroes (USA)/3D Dot Game Heroes (USA).json
Sony PlayStation 3 || Alice - Madness Returns (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Alice - Madness Returns (USA) (En,Fr,De,Es,It)/Alice - Madness Returns (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Alien - Isolation (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Alien - Isolation (USA) (En,Fr,Es,Pt)/Alien - Isolation (USA) (En,Fr,Es,Pt).json
Sony PlayStation 3 || Alone in the Dark - Inferno (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Alone in the Dark - Inferno (USA) (En,Fr,De,Es,It)/Alone in the Dark - Inferno (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Assassin's Creed - Brotherhood (USA) (En,Fr,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Assassin's Creed - Brotherhood (USA) (En,Fr,Es,It)/Assassin's Creed - Brotherhood (USA) (En,Fr,Es,It).json
Sony PlayStation 3 || Assassin's Creed - Revelations (USA) (En,Fr,Es,Pt) (First Print Limited Edition) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Assassin's Creed - Revelations (USA) (En,Fr,Es,Pt) (First Print Limited Edition)/Assassin's Creed - Revelations (USA) (En,Fr,Es,Pt) (First Print Limited Edition).json
Sony PlayStation 3 || Back to the Future - The Game (USA) (En,Fr,De) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Back to the Future - The Game (USA) (En,Fr,De)/Back to the Future - The Game (USA) (En,Fr,De).json
Sony PlayStation 3 || Batman - Arkham Asylum - Game of the Year Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Batman - Arkham Asylum - Game of the Year Edition (USA)/Batman - Arkham Asylum - Game of the Year Edition (USA).json
Sony PlayStation 3 || Batman - Arkham City - Game of the Year Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Batman - Arkham City - Game of the Year Edition (USA)/Batman - Arkham City - Game of the Year Edition (USA).json
Sony PlayStation 3 || Best of PlayStation Network Vol. 1 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Best of PlayStation Network Vol. 1 (USA)/Best of PlayStation Network Vol. 1 (USA).json
Sony PlayStation 3 || Beyond - Two Souls (USA) (En,Fr) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Beyond - Two Souls (USA) (En,Fr)/Beyond - Two Souls (USA) (En,Fr).json
Sony PlayStation 3 || Biohazard - Chronicles HD Selection (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Biohazard - Chronicles HD Selection (Japan)/Biohazard - Chronicles HD Selection (Japan).json
Sony PlayStation 3 || Biohazard - HD Remaster (Japan, Asia) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Biohazard - HD Remaster (Japan, Asia) (En,Ja,Fr,De,Es,It)/Biohazard - HD Remaster (Japan, Asia) (En,Ja,Fr,De,Es,It).json
Sony PlayStation 3 || Biohazard - Revival Selection (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Biohazard - Revival Selection (Japan)/Biohazard - Revival Selection (Japan).json
Sony PlayStation 3 || Biohazard 0 - HD Remaster (Japan) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Biohazard 0 - HD Remaster (Japan) (En,Ja,Fr,De,Es,It)/Biohazard 0 - HD Remaster (Japan) (En,Ja,Fr,De,Es,It).json
Sony PlayStation 3 || Bionic Commando (USA) (En,Ja,Fr,De,Es,It,Ko) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Bionic Commando (USA) (En,Ja,Fr,De,Es,It,Ko)/Bionic Commando (USA) (En,Ja,Fr,De,Es,It,Ko).json
Sony PlayStation 3 || Borderlands Triple Pack (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Borderlands Triple Pack (USA) (En,Fr,De,Es,It)/Borderlands Triple Pack (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Castlevania - Lords of Shadow (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Castlevania - Lords of Shadow (USA) (En,Fr,De,Es,It)/Castlevania - Lords of Shadow (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Castlevania - Lords of Shadow 2 (USA) (En,Fr,De,Es,It,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Castlevania - Lords of Shadow 2 (USA) (En,Fr,De,Es,It,Pt)/Castlevania - Lords of Shadow 2 (USA) (En,Fr,De,Es,It,Pt).json
Sony PlayStation 3 || Chronicles of Riddick, The - Assault on Dark Athena (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Chronicles of Riddick, The - Assault on Dark Athena (USA) (En,Fr,De,Es,It)/Chronicles of Riddick, The - Assault on Dark Athena (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Clive Barker's Jericho (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Clive Barker's Jericho (USA) (En,Fr,De,Es,It)/Clive Barker's Jericho (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Dante's Inferno (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dante's Inferno (USA) (En,Fr,Es)/Dante's Inferno (USA) (En,Fr,Es).json
Sony PlayStation 3 || Dark Souls (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dark Souls (USA) (En,Fr,Es)/Dark Souls (USA) (En,Fr,Es).json
Sony PlayStation 3 || Dark Souls II - Scholar of the First Sin (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dark Souls II - Scholar of the First Sin (USA) (En,Fr,Es,Pt)/Dark Souls II - Scholar of the First Sin (USA) (En,Fr,Es,Pt).json
Sony PlayStation 3 || Dead Island - Game of the Year Edition (USA) (En,Fr,De,Es,It,Pl) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dead Island - Game of the Year Edition (USA) (En,Fr,De,Es,It,Pl)/Dead Island - Game of the Year Edition (USA) (En,Fr,De,Es,It,Pl).json
Sony PlayStation 3 || Dead Island - Riptide (USA) (En,Fr,De,Es,It,Pl) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dead Island - Riptide (USA) (En,Fr,De,Es,It,Pl)/Dead Island - Riptide (USA) (En,Fr,De,Es,It,Pl).json
Sony PlayStation 3 || Dead Space (USA, Korea) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dead Space (USA, Korea) (En,Fr,Es)/Dead Space (USA, Korea) (En,Fr,Es).json
Sony PlayStation 3 || Dead Space 2 (USA, Korea) (En,Fr,Es) (Limited Edition) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dead Space 2 (USA, Korea) (En,Fr,Es) (Limited Edition)/Dead Space 2 (USA, Korea) (En,Fr,Es) (Limited Edition).json
Sony PlayStation 3 || Dead Space 3 (USA, Asia) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dead Space 3 (USA, Asia) (En,Fr,Es)/Dead Space 3 (USA, Asia) (En,Fr,Es).json
Sony PlayStation 3 || Deadly Premonition - The Director's Cut (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Deadly Premonition - The Director's Cut (USA)/Deadly Premonition - The Director's Cut (USA).json
Sony PlayStation 3 || Demon's Souls (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Demon's Souls (USA)/Demon's Souls (USA).json
Sony PlayStation 3 || Dishonored - Game of the Year Edition (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dishonored - Game of the Year Edition (USA) (En,Fr,Es)/Dishonored - Game of the Year Edition (USA) (En,Fr,Es).json
Sony PlayStation 3 || Disney DuckTales - Remastered (USA) (En,Fr,De,Es,It,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Disney DuckTales - Remastered (USA) (En,Fr,De,Es,It,Pt)/Disney DuckTales - Remastered (USA) (En,Fr,De,Es,It,Pt).json
Sony PlayStation 3 || Doom 3 - BFG Edition (USA, Asia) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Doom 3 - BFG Edition (USA, Asia) (En,Fr,Es)/Doom 3 - BFG Edition (USA, Asia) (En,Fr,Es).json
Sony PlayStation 3 || Dragon Age - Inquisition (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dragon Age - Inquisition (USA) (En,Fr,Es)/Dragon Age - Inquisition (USA) (En,Fr,Es).json
Sony PlayStation 3 || Dragon's Crown (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dragon's Crown (USA)/Dragon's Crown (USA).json
Sony PlayStation 3 || Dungeon Siege III (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Dungeon Siege III (USA) (En,Fr,Es)/Dungeon Siege III (USA) (En,Fr,Es).json
Sony PlayStation 3 || Earth Defense Force - Insect Armageddon (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Earth Defense Force - Insect Armageddon (USA)/Earth Defense Force - Insect Armageddon (USA).json
Sony PlayStation 3 || Earth Defense Force 2025 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Earth Defense Force 2025 (USA)/Earth Defense Force 2025 (USA).json
Sony PlayStation 3 || Elder Scrolls IV, The - Oblivion - Game of the Year Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Elder Scrolls IV, The - Oblivion - Game of the Year Edition (USA)/Elder Scrolls IV, The - Oblivion - Game of the Year Edition (USA).json
Sony PlayStation 3 || Enchanted Arms (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Enchanted Arms (USA)/Enchanted Arms (USA).json
Sony PlayStation 3 || Enslaved - Odyssey to the West (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Enslaved - Odyssey to the West (USA) (En,Fr,Es)/Enslaved - Odyssey to the West (USA) (En,Fr,Es).json
Sony PlayStation 3 || Escape Dead Island (USA) (En,Fr,De,Es,It,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Escape Dead Island (USA) (En,Fr,De,Es,It,Pt)/Escape Dead Island (USA) (En,Fr,De,Es,It,Pt).json
Sony PlayStation 3 || Eternal Sonata (USA) (En,Fr) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Eternal Sonata (USA) (En,Fr)/Eternal Sonata (USA) (En,Fr).json
Sony PlayStation 3 || Eye of Judgment, The (USA) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Eye of Judgment, The (USA) (En,Ja,Fr,De,Es,It)/Eye of Judgment, The (USA) (En,Ja,Fr,De,Es,It).json
Sony PlayStation 3 || F.E.A.R. - First Encounter Assault Recon (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/F.E.A.R. - First Encounter Assault Recon (USA)/F.E.A.R. - First Encounter Assault Recon (USA).json
Sony PlayStation 3 || F.E.A.R. 2 - Project Origin (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/F.E.A.R. 2 - Project Origin (USA) (En,Fr,De,Es,It)/F.E.A.R. 2 - Project Origin (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || F.E.A.R. 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pt,Ko,Pl,Ru) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/F.E.A.R. 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pt,Ko,Pl,Ru)/F.E.A.R. 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pt,Ko,Pl,Ru).json
Sony PlayStation 3 || Falling Skies - The Game (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Falling Skies - The Game (USA) (En,Fr,Es,Pt)/Falling Skies - The Game (USA) (En,Fr,Es,Pt).json
Sony PlayStation 3 || Fallout 3 - Game of the Year Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Fallout 3 - Game of the Year Edition (USA)/Fallout 3 - Game of the Year Edition (USA).json
Sony PlayStation 3 || Final Fantasy XIII (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Final Fantasy XIII (USA) (En,Fr,De,Es,It)/Final Fantasy XIII (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Final Fantasy XIII-2 (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Final Fantasy XIII-2 (USA) (En,Fr,Es)/Final Fantasy XIII-2 (USA) (En,Fr,Es).json
Sony PlayStation 3 || Folklore (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Folklore (USA) (En,Fr,De,Es,It)/Folklore (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Ghostbusters - The Video Game (USA) (En,Fr,De,Es,It,Nl) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Ghostbusters - The Video Game (USA) (En,Fr,De,Es,It,Nl)/Ghostbusters - The Video Game (USA) (En,Fr,De,Es,It,Nl).json
Sony PlayStation 3 || God of War - Ascension (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/God of War - Ascension (USA) (En,Fr,Es,Pt)/God of War - Ascension (USA) (En,Fr,Es,Pt).json
Sony PlayStation 3 || God of War - Origins Collection (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/God of War - Origins Collection (USA) (En,Fr,Es)/God of War - Origins Collection (USA) (En,Fr,Es).json
Sony PlayStation 3 || God of War Collection (USA, Asia) (v01.00) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/God of War Collection (USA, Asia) (v01.00)/God of War Collection (USA, Asia) (v01.00).json
Sony PlayStation 3 || God of War III (USA) (v01.03) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/God of War III (USA) (v01.03)/God of War III (USA) (v01.03).json
Sony PlayStation 3 || Heavenly Sword (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Heavenly Sword (USA) (En,Fr,De,Es,It)/Heavenly Sword (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Heavy Rain - Director's Cut (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Heavy Rain - Director's Cut (USA) (En,Fr,Es,Pt)/Heavy Rain - Director's Cut (USA) (En,Fr,Es,Pt).json
Sony PlayStation 3 || House of the Dead, The - Overkill - Extended Cut (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/House of the Dead, The - Overkill - Extended Cut (USA)/House of the Dead, The - Overkill - Extended Cut (USA).json
Sony PlayStation 3 || Ico & Shadow of the Colossus Collection, The (USA, Brazil) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Ico & Shadow of the Colossus Collection, The (USA, Brazil) (En,Fr,Es)/Ico & Shadow of the Colossus Collection, The (USA, Brazil) (En,Fr,Es).json
Sony PlayStation 3 || Jak and Daxter Collection (USA, Asia) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Jak and Daxter Collection (USA, Asia) (En,Fr,Es)/Jak and Daxter Collection (USA, Asia) (En,Fr,Es).json
Sony PlayStation 3 || Journey Collector's Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Journey Collector's Edition (USA)/Journey Collector's Edition (USA).json
Sony PlayStation 3 || Just Cause 2 (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Just Cause 2 (USA) (En,Fr,De,Es,It)/Just Cause 2 (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Kingdom Hearts - HD 1.5 ReMIX (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Kingdom Hearts - HD 1.5 ReMIX (USA) (En,Fr,Es)/Kingdom Hearts - HD 1.5 ReMIX (USA) (En,Fr,Es).json
Sony PlayStation 3 || Kingdom Hearts - HD 2.5 ReMIX (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Kingdom Hearts - HD 2.5 ReMIX (USA) (En,Fr,Es)/Kingdom Hearts - HD 2.5 ReMIX (USA) (En,Fr,Es).json
Sony PlayStation 3 || Kingdoms of Amalur - Reckoning (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Kingdoms of Amalur - Reckoning (USA) (En,Fr,De,Es,It)/Kingdoms of Amalur - Reckoning (USA) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Kung Fu Rider (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Kung Fu Rider (USA) (En,Fr,Es,Pt)/Kung Fu Rider (USA) (En,Fr,Es,Pt).json
Sony PlayStation 3 || L.A. Noire - The Complete Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/L.A. Noire - The Complete Edition (USA)/L.A. Noire - The Complete Edition (USA).json
Sony PlayStation 3 || LEGO Dimensions (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/LEGO Dimensions (USA) (En,Fr,Es)/LEGO Dimensions (USA) (En,Fr,Es).json
Sony PlayStation 3 || Last of Us, The (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Last of Us, The (USA) (En,Fr,Es,Pt)/Last of Us, The (USA) (En,Fr,Es,Pt).json
Sony PlayStation 3 || Legend of Heroes, The - Trails of Cold Steel (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Legend of Heroes, The - Trails of Cold Steel (USA)/Legend of Heroes, The - Trails of Cold Steel (USA).json
Sony PlayStation 3 || Legend of Heroes, The - Trails of Cold Steel II (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Legend of Heroes, The - Trails of Cold Steel II (USA)/Legend of Heroes, The - Trails of Cold Steel II (USA).json
Sony PlayStation 3 || Lightning Returns - Final Fantasy XIII (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Lightning Returns - Final Fantasy XIII (USA) (En,Fr,Es)/Lightning Returns - Final Fantasy XIII (USA) (En,Fr,Es).json
Sony PlayStation 3 || LittleBigPlanet - Game of the Year Edition (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/LittleBigPlanet - Game of the Year Edition (USA) (En,Fr,Es)/LittleBigPlanet - Game of the Year Edition (USA) (En,Fr,Es).json
Sony PlayStation 3 || LittleBigPlanet 2 - Special Edition (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/LittleBigPlanet 2 - Special Edition (USA) (En,Fr,Es)/LittleBigPlanet 2 - Special Edition (USA) (En,Fr,Es).json
Sony PlayStation 3 || LittleBigPlanet 3 (USA) (En,Fr) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/LittleBigPlanet 3 (USA) (En,Fr)/LittleBigPlanet 3 (USA) (En,Fr).json
Sony PlayStation 3 || Lollipop Chainsaw (USA) (En,Fr,De,Es,It,Ru) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Lollipop Chainsaw (USA) (En,Fr,De,Es,It,Ru)/Lollipop Chainsaw (USA) (En,Fr,De,Es,It,Ru).json
Sony PlayStation 3 || Lost Planet - Extreme Condition (USA) (En,Ja,Fr,De,Es,It,Ko) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Lost Planet - Extreme Condition (USA) (En,Ja,Fr,De,Es,It,Ko)/Lost Planet - Extreme Condition (USA) (En,Ja,Fr,De,Es,It,Ko).json
Sony PlayStation 3 || Lost Planet 2 (USA) (En,Ja,Fr,De,Es,It,Ko) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Lost Planet 2 (USA) (En,Ja,Fr,De,Es,It,Ko)/Lost Planet 2 (USA) (En,Ja,Fr,De,Es,It,Ko).json
Sony PlayStation 3 || Lost Planet 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pt,Pl,Ru) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Lost Planet 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pt,Pl,Ru)/Lost Planet 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pt,Pl,Ru).json
Sony PlayStation 3 || Marvel - Ultimate Alliance (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Marvel - Ultimate Alliance (USA)/Marvel - Ultimate Alliance (USA).json
Sony PlayStation 3 || Marvel - Ultimate Alliance 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Marvel - Ultimate Alliance 2 (USA)/Marvel - Ultimate Alliance 2 (USA).json
Sony PlayStation 3 || Mass Effect (USA, Asia) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Mass Effect (USA, Asia) (En,Fr,Es)/Mass Effect (USA, Asia) (En,Fr,Es).json
Sony PlayStation 3 || Mass Effect 2 (USA, Asia) (En,Fr,De,Es,It,Ru) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Mass Effect 2 (USA, Asia) (En,Fr,De,Es,It,Ru)/Mass Effect 2 (USA, Asia) (En,Fr,De,Es,It,Ru).json
Sony PlayStation 3 || Mass Effect 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pl,Ru) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Mass Effect 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pl,Ru)/Mass Effect 3 (USA, Asia) (En,Ja,Fr,De,Es,It,Pl,Ru).json
Sony PlayStation 3 || Max Payne 3 (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Max Payne 3 (USA) (En,Fr,Es)/Max Payne 3 (USA) (En,Fr,Es).json
Sony PlayStation 3 || Metal Gear Solid - HD Collection (USA, Asia) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Metal Gear Solid - HD Collection (USA, Asia) (En,Fr,Es)/Metal Gear Solid - HD Collection (USA, Asia) (En,Fr,Es).json
Sony PlayStation 3 || Metal Gear Solid 4 - Guns of the Patriots (USA) (En,Fr,De,Es,It) (v01.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Metal Gear Solid 4 - Guns of the Patriots (USA) (En,Fr,De,Es,It) (v01.01)/Metal Gear Solid 4 - Guns of the Patriots (USA) (En,Fr,De,Es,It) (v01.01).json
Sony PlayStation 3 || Metal Gear Solid V - Ground Zeroes (USA) (En,Ja,Fr,De,Es,It,Pt,Ru) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Metal Gear Solid V - Ground Zeroes (USA) (En,Ja,Fr,De,Es,It,Pt,Ru)/Metal Gear Solid V - Ground Zeroes (USA) (En,Ja,Fr,De,Es,It,Pt,Ru).json
Sony PlayStation 3 || Metal Gear Solid V - The Phantom Pain (USA) (En,Ja,Fr,De,Es,It,Pt,Ru) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Metal Gear Solid V - The Phantom Pain (USA) (En,Ja,Fr,De,Es,It,Pt,Ru)/Metal Gear Solid V - The Phantom Pain (USA) (En,Ja,Fr,De,Es,It,Pt,Ru).json
Sony PlayStation 3 || Monkey Island - Special Edition Collection (Europe) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Monkey Island - Special Edition Collection (Europe) (En,Fr,De,Es,It)/Monkey Island - Special Edition Collection (Europe) (En,Fr,De,Es,It).json
Sony PlayStation 3 || Murdered - Soul Suspect (USA, Korea) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation 3/Murdered - Soul Suspect (USA, Korea) (En,Fr,Es)/Murdered - Soul Suspect (USA, Korea) (En,Fr,Es).json
