Sony PlayStation Portable || 3rd Birthday, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/3rd Birthday, The (USA)/3rd Birthday, The (USA).json
Sony PlayStation Portable || 7th Dragon 2020 (Japan) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/7th Dragon 2020 (Japan) (v1.01)/7th Dragon 2020 (Japan) (v1.01).json
Sony PlayStation Portable || 7th Dragon 2020-II (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/7th Dragon 2020-II (Japan)/7th Dragon 2020-II (Japan).json
Sony PlayStation Portable || Aedis Eclipse - Generation of Chaos (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Aedis Eclipse - Generation of Chaos (USA)/Aedis Eclipse - Generation of Chaos (USA).json
Sony PlayStation Portable || Ape Escape - On the Loose (USA) (v1.03) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Ape Escape - On the Loose (USA) (v1.03)/Ape Escape - On the Loose (USA) (v1.03).json
Sony PlayStation Portable || Archer Maclean's Mercury (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Archer Maclean's Mercury (USA)/Archer Maclean's Mercury (USA).json
Sony PlayStation Portable || Atari Classics Evolved (USA) (v1.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Atari Classics Evolved (USA) (v1.02)/Atari Classics Evolved (USA) (v1.02).json
Sony PlayStation Portable || Blade Dancer - Lineage of Light (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Blade Dancer - Lineage of Light (USA) (v1.01)/Blade Dancer - Lineage of Light (USA) (v1.01).json
Sony PlayStation Portable || Blazing Souls Accelate (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Blazing Souls Accelate (USA)/Blazing Souls Accelate (USA).json
Sony PlayStation Portable || Brandish - The Dark Revenant (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Brandish - The Dark Revenant (Japan)/Brandish - The Dark Revenant (Japan).json
Sony PlayStation Portable || Brave Story - New Traveler (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Brave Story - New Traveler (USA)/Brave Story - New Traveler (USA).json
