Sony PlayStation Vita || Alone With You (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Alone With You (USA)/Alone With You (USA).json
Sony PlayStation Vita || Another World - 20th Anniversary Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Another World - 20th Anniversary Edition (USA)/Another World - 20th Anniversary Edition (USA).json
Sony PlayStation Vita || Antiquia Lost (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Antiquia Lost (USA)/Antiquia Lost (USA).json
Sony PlayStation Vita || Aqua Kitty - Milk Mine Defender DX (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Aqua Kitty - Milk Mine Defender DX (USA)/Aqua Kitty - Milk Mine Defender DX (USA).json
Sony PlayStation Vita || Army Corps of Hell (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Army Corps of Hell (USA)/Army Corps of Hell (USA).json
Sony PlayStation Vita || Asdivine Hearts (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Asdivine Hearts (USA)/Asdivine Hearts (USA).json
Sony PlayStation Vita || Bard's Gold (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Bard's Gold (USA)/Bard's Gold (USA).json
Sony PlayStation Vita || Bastion (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Bastion (USA)/Bastion (USA).json
Sony PlayStation Vita || Bit.Trip Presents... Runner2 - Future Legend of Rhythm Alien (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Bit.Trip Presents... Runner2 - Future Legend of Rhythm Alien (USA)/Bit.Trip Presents... Runner2 - Future Legend of Rhythm Alien (USA).json
Sony PlayStation Vita || Bit.Trip, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Bit.Trip, The (USA)/Bit.Trip, The (USA).json
Sony PlayStation Vita || Chronus Arc (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Chronus Arc (USA)/Chronus Arc (USA).json
Sony PlayStation Vita || Claire - Extended Cut (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Claire - Extended Cut (USA)/Claire - Extended Cut (USA).json
Sony PlayStation Vita || Croixleur Sigma (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Croixleur Sigma (USA)/Croixleur Sigma (USA).json
Sony PlayStation Vita || Curses 'N Chaos (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Curses 'N Chaos (USA)/Curses 'N Chaos (USA).json
Sony PlayStation Vita || Damascus Gear - Operation Osaka (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Damascus Gear - Operation Osaka (USA)/Damascus Gear - Operation Osaka (USA).json
Sony PlayStation Vita || Damascus Gear - Operation Tokyo (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Damascus Gear - Operation Tokyo (USA)/Damascus Gear - Operation Tokyo (USA).json
